"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,7,"Augmented: Target-audit same-X",0.034832589622927,0.0570926562306611,0.139693223928079,0.839003836346505
"transported",0.01,7,"Plug-in: Target-audit same-X",0.0374909172416342,0.0570926562306611,0.139693223928079,0.839003836346505
"transported",0.01,7,"Augmented: External same-X",0.0427970873004297,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,7,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,7,"Augmented: External same-X distorted",0.0460174926665474,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,7,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,7,"Augmented: External same-X recalibrated",0.0396737339960973,0.0570926562306611,0.113168209966032,0.906010131356306
"transported",0.01,7,"Plug-in: External same-X recalibrated",0.0469328019013263,0.0570926562306611,0.113168209966032,0.906010131356306
"transported",0.01,7,"Augmented: External BISG-like",0.0381710839850145,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,7,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,8,"IPW",0.0381047779788431,0.0570926562306611,NA,NA
"transported",0.01,8,"Augmented: Target-audit same-X",0.0533450979446758,0.0570926562306611,0.114720956395226,0.894111979357408
"transported",0.01,8,"Plug-in: Target-audit same-X",0.0533933125510544,0.0570926562306611,0.114720956395226,0.894111979357408
"transported",0.01,8,"Augmented: External same-X",0.0534254664589885,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,8,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,8,"Augmented: External same-X distorted",0.0532637520187748,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,8,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,8,"Augmented: External same-X recalibrated",0.0539193623836264,0.0570926562306611,0.105418401826057,0.907832481294668
"transported",0.01,8,"Plug-in: External same-X recalibrated",0.0575143130493204,0.0570926562306611,0.105418401826057,0.907832481294668
"transported",0.01,8,"Augmented: External BISG-like",0.054595825356254,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,8,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,9,"IPW",0.0663002987359748,0.0570926562306611,NA,NA
"transported",0.01,9,"Augmented: Target-audit same-X",0.0548649746862119,0.0570926562306611,0.122646585304717,0.87163345929767
"transported",0.01,9,"Plug-in: Target-audit same-X",0.0553680608931732,0.0570926562306611,0.122646585304717,0.87163345929767
"transported",0.01,9,"Augmented: External same-X",0.0540609259949209,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,9,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,9,"Augmented: External same-X distorted",0.0525044493800855,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,9,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,9,"Augmented: External same-X recalibrated",0.0550581403812197,0.0570926562306611,0.107084821669935,0.908147805948711
"transported",0.01,9,"Plug-in: External same-X recalibrated",0.0477719430056686,0.0570926562306611,0.107084821669935,0.908147805948711
"transported",0.01,9,"Augmented: External BISG-like",0.0599550727162357,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,9,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,10,"IPW",0.0585169675965964,0.0570926562306611,NA,NA
