"audit_rate","replicate","method","path_type","lambda","selected","audited_train_n","audited_validation_n","training_estimated_moment","validation_estimated_moment","converged","gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,1,"Augmented","exact",10,FALSE,175,57,0.00262656842016197,0.0228277936854061,TRUE,9.65516128839065e-06,0.459921176822548,0.739190402192902,0.810293137908061,0.0224695199925203,0.0156190111849226,0.0224695199925203,0.0156190111849226,0.0208172080416283,0.00761820975258365,0.0208172080416283,0.00761820975258365
0.01,1,"Augmented","exact",31.6227766016838,FALSE,175,57,0.00204587144495198,0.0228862256313612,TRUE,1.27704959283813e-05,0.459863827641998,0.739342579812818,0.810126582278481,0.0223561484411622,0.0155682930336273,0.0223561484411622,0.0155682930336273,0.0210930701105938,0.00761820975258365,0.0210930701105938,0.00761820975258365
0.01,1,"Augmented","exact",100,TRUE,175,57,0.00120611671719328,0.0229784835985045,TRUE,8.03671906970729e-06,0.459859968602983,0.739442959130818,0.80979347101932,0.0221863925664375,0.0154943644512431,0.0221863925664375,0.0154943644512431,0.0190044498557782,0.00636695719603508,0.0190044498557782,0.00636695719603508
0.01,1,"Augmented","exact",316.227766016838,FALSE,175,57,0.000525739436474849,0.023053699003292,TRUE,1.35214351841064e-05,0.459924591289364,0.739440546166443,0.80929380413058,0.0220447360707486,0.0154326059132149,0.0220447360707486,0.0154326059132149,0.0180323810352078,0.00747621953657862,0.0180323810352078,0.00747621953657862
0.01,1,"Augmented","exact",1000,FALSE,175,57,0.000188914746704823,0.0230942747032458,TRUE,1.32028105004693e-05,0.459981025911465,0.739398560586318,0.80962691538974,0.021974873588993,0.0154024671011352,0.021974873588993,0.0154024671011352,0.017047209056254,0.00671526788917343,0.017047209056254,0.00671526788917343
0.01,1,"Augmented","exact",3162.27766016838,FALSE,175,57,6.24866771161702e-05,0.023108512861506,TRUE,1.79625106115477e-05,0.460004820682629,0.739386334900151,0.80946035976016,0.0219467010710724,0.0153896457601359,0.0219467010710724,0.0153896457601359,0.0173230711252195,0.00671526788917343,0.0173230711252195,0.00671526788917343
0.01,1,"Augmented","exact",10000,FALSE,175,57,2.00004660799146e-05,0.0231162405248101,TRUE,2.84391716513193e-05,0.460012566516966,0.73936493994936,0.80946035976016,0.0219368050594257,0.0153844771784495,0.0219368050594257,0.0153844771784495,0.0173230711252195,0.00671526788917343,0.0173230711252195,0.00671526788917343
0.01,1,"AugmentedMisspecified","exact",0,FALSE,175,57,0.00468757711720198,0.0239686522806871,TRUE,1.05052121372752e-13,0.459985191766892,0.739071040888486,0.810293137908061,0.02254500432315,0.0156520704595693,0.02254500432315,0.0156520704595693,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",0.001,FALSE,175,57,0.00468756334279884,0.0239686430665594,TRUE,2.13840564403995e-07,0.459985189706952,0.739071040888486,0.810293137908061,0.0225449950018135,0.0156520642619017,0.0225449950018135,0.0156520642619017,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",0.00316227766016838,FALSE,175,57,0.00468753078201908,0.0239686201188185,TRUE,6.09529797613911e-07,0.459985183191107,0.739071362617069,0.810293137908061,0.022544976449182,0.0156520527226492,0.022544976449182,0.0156520527226492,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",0.01,FALSE,175,57,0.00468742571571392,0.0239685474119931,TRUE,1.91284585044915e-06,0.459985163432403,0.739072006074236,0.810293137908061,0.0225449148570468,0.0156520138475355,0.0225449148570468,0.0156520138475355,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",0.0316227766016838,FALSE,175,57,0.00468709515067268,0.0239683186445332,TRUE,6.0271662701895e-06,0.459985101242594,0.739073132124277,0.810293137908061,0.022544721326532,0.0156518917492482,0.022544721326532,0.0156518917492482,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",0.1,FALSE,175,57,0.00468334516097181,0.0239656462801682,TRUE,1.40101971458891e-05,0.459983936435273,0.739076027681527,0.810293137908061,0.0225440492165656,0.0156518112555959,0.0225440492165656,0.0156518112555959,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",0.316227766016838,FALSE,175,57,0.00466615807355614,0.02396084676051,TRUE,9.90396890745112e-06,0.459980751626261,0.739087288181944,0.810293137908061,0.0225440004809241,0.015652825728927,0.0225440004809241,0.015652825728927,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"AugmentedMisspecified","exact",1,FALSE,175,57,0.00461894679152281,0.023950698643562,TRUE,1.03659821774474e-05,0.459972270275685,0.73910240942536,0.810459693537642,0.0225402042856221,0.0156541239511592,0.0225402042856221,0.0156541239511592,0.0210930701105938,0.00706357858231177,0.0210930701105938,0.00706357858231177
0.01,1,"AugmentedMisspecified","exact",3.16227766016838,FALSE,175,57,0.00447735867991054,0.0239112863358095,TRUE,1.00361274268717e-05,0.459949763101678,0.739129595490652,0.809960026648901,0.0225317677097443,0.01566100291713,0.0225317677097443,0.01566100291713,0.0209616906553025,0.00782453022971696,0.0209616906553025,0.00782453022971696
0.01,1,"AugmentedMisspecified","exact",10,FALSE,175,57,0.0040845683594474,0.0238074646998891,TRUE,1.1350568549322e-05,0.459898880695523,0.739185897992735,0.810293137908061,0.0225066131596793,0.015677701156975,0.0225066131596793,0.015677701156975,0.0204099665173719,0.00692158836630696,0.0204099665173719,0.00692158836630696
0.01,1,"AugmentedMisspecified","exact",31.6227766016838,FALSE,175,57,0.00321061657629856,0.0235769557773374,TRUE,8.67926058050051e-06,0.459858523230827,0.739256678281069,0.810293137908061,0.0224455179877604,0.0157142628346648,0.0224455179877604,0.0157142628346648,0.0192803119247436,0.00616063671890155,0.0192803119247436,0.00616063671890155
0.01,1,"AugmentedMisspecified","exact",100,TRUE,175,57,0.00193689046350165,0.0232515182395943,TRUE,1.68752058235201e-05,0.459995745504166,0.739078923238777,0.809127248500999,0.0223335172299794,0.015753469619651,0.0223335172299794,0.015753469619651,0.0174413474221278,0.00595431624176823,0.0174413474221278,0.00595431624176823
0.01,1,"AugmentedMisspecified","exact",316.227766016838,FALSE,175,57,0.000868174672826748,0.0229980275081841,TRUE,1.0814140765621e-05,0.460292783067553,0.738794836899695,0.808960692871419,0.0222328742334648,0.0157900302092648,0.0222328742334648,0.0157900302092648,0.0184134162426982,0.00776019996858823,0.0184134162426982,0.00776019996858823
0.01,1,"AugmentedMisspecified","exact",1000,FALSE,175,57,0.000316923346890008,0.0228765122210218,FALSE,0.000122204357755286,0.460514089933292,0.738546784161945,0.808461025982678,0.022173230038483,0.0158039705309591,0.022173230038483,0.0158039705309591,0.0174413474221278,0.00796652044572188,0.0174413474221278,0.00796652044572188
0.01,1,"AugmentedMisspecified","exact",3162.27766016838,FALSE,175,57,0.000105752211896158,0.0228266604816413,TRUE,1.30406621061813e-05,0.46061039831323,0.738414071121321,0.808461025982678,0.0221520496959898,0.0158117755806878,0.0221520496959898,0.0158117755806878,0.0160489339189168,0.00796652044572188,0.0160489339189168,0.00796652044572188
0.01,1,"AugmentedMisspecified","exact",10000,FALSE,175,57,3.39771935168371e-05,0.0228102899307211,TRUE,3.29816731349885e-05,0.460643332095373,0.738378520112862,0.808627581612258,0.0221455525309461,0.0158156652149082,0.0221455525309461,0.0158156652149082,0.0157730718499514,0.00796652044572188,0.0157730718499514,0.00796652044572188
0.01,2,"Unconstrained","exact",0,TRUE,176,47,0.00730506974376283,0.00705183959425758,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,2,"Oracle","exact",0,FALSE,176,47,0.00529178061490764,0.00629127250049168,TRUE,1.05052121372752e-13,0.459985191766892,0.739071040888486,0.810293137908061,0.02254500432315,0.0156520704595693,0.02254500432315,0.0156520704595693,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
